Spine Point,Combined Staff
34,479.5
35,83.7
36,0.0
37,88.6
38,176.9
39,99.6
40,90.8
41,236.4
42,66.8
43,40.8
44,15.3
45,64.3
46,91.7
47,121.3
48,29.9
49,20.1
50,5.0
51,54.4
52,25.7
53,58.8
54,22.1
55,21.6
56,14.0
57,20.2
58,11.7
59,15.6
60,19.2
61,13.4
62,16.7
63,13.4
64,8.9
65,5.2
66,10.0
67,2.5
68,12.4
69,#VALUE!
70,0.0
71,0.0
