﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2024/25 
Search:,


"UKPRN","HE provider","Contract salary < £23,581 ","Contract salary ≥ £23,581 and < £29,659 ","Contract salary ≥ £29,659 and < £39,105 ","Contract salary ≥ £39,105 and < £52,183 ","Contract salary ≥ £52,183 and < £69,757 ","Contract salary ≥ £69,757 ","Total"
"10003678","Kingston University","0","5","25","180","355","95","665"
"10003758","LAMDA Limited","0","0","0","30","5","0","35"
"10007141","University of Lancashire","0","15","40","470","440","120","1,090"
"10007768","The University of Lancaster","0","0","125","420","460","290","1,295"
"10003854","Leeds Arts University","0","20","10","25","25","5","85"
"10003861","Leeds Beckett University","0","5","45","240","485","105","875"
"10034449","Leeds Conservatoire","0","0","0","15","5","0","20"
"10007795","The University of Leeds","0","0","170","1,250","1,015","745","3,185"
"10003863","Leeds Trinity University","0","0","0","95","85","35","215"
"10082828","College of Legal Practice Limited","0","0","0","0","5","0","5"
"10007796","The University of Leicester","0","0","100","540","575","315","1,535"
"10007151","The University of Lincoln","0","15","85","380","300","95","875"
"10007811","Lincoln Bishop University","0","0","0","40","40","5","90"
"10036456","Academy of Live Technology Ltd","0","0","5","5","0","0","15"
"10003956","Liverpool Hope University","0","0","5","155","85","25","270"
"10003957","Liverpool John Moores University","0","15","110","295","755","135","1,310"
"10031239","LMA","0","0","20","10","0","5","30"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","20","10","5","35"
"10006842","The University of Liverpool","0","0","145","925","730","905","2,705"
"10003958","Liverpool School of Tropical Medicine","0","0","30","80","30","75","220"
"10007162","University of the Arts, London","0","0","15","245","495","170","925"
"10007769","London Business School","0","0","5","5","0","95","105"
"10007797","University of London (Institutes and activities)","0","0","0","20","15","35","65"
"10004036","London Film School Limited","0","0","5","15","5","0","25"
"10004048","London Metropolitan University","0","0","5","95","225","90","415"
"10004078","London South Bank University","5","10","145","205","240","50","650"
"10004063","London School of Economics and Political Science","0","0","40","260","165","660","1,125"
"10007771","London School of Hygiene and Tropical Medicine","0","0","50","340","145","135","670"
"10022285","London School of Management Education","0","0","5","10","0","0","15"
"10004075","London School of Theology","0","0","0","5","5","0","10"
"10029147","London School of Jewish Studies","0","0","0","0","0","0","0"
"10067623","The London Interdisciplinary School Ltd","0","0","0","5","5","0","15"
"10004113","Loughborough University","0","15","215","315","510","320","1,370"
"10009612","Luther King House Educational Trust","0","0","0","0","0","0","0"
"10004180","The Manchester Metropolitan University","0","0","170","595","785","175","1,720"
"10007798","The University of Manchester","0","0","535","1,470","1,055","1,300","4,360"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","0","0","0"
"10020416","Missio Dei","0","0","0","0","0","0","5"
"10030776","St Mellitus College","0","0","0","15","5","0","20"
"10004320","The Metanoia Institute","0","0","5","15","15","5","40"
"10004351","Middlesex University","0","10","15","180","250","70","530"
"10023777","Mont Rose College of Management and Sciences Limited","0","0","0","15","15","5","40"
"10023454","Moorlands College","0","0","0","5","0","0","5"
"10001444","National Centre for Circus Arts","0","0","0","5","0","0","5"
"10090839","National Institute of Teaching","0","0","5","10","20","15","50"
"10004538","Nazarene Theological College","0","0","0","0","0","0","5"
"10030129","Nelson College London Ltd","0","10","0","0","0","0","15"
"10007799","Newcastle University","0","0","410","595","765","620","2,395"
"10067406","New Model Institute for Technology and Engineering (NMITE)","0","0","0","5","10","5","20"
"10048199","Northeastern University London","0","0","0","15","85","35","135"
"10007138","The University of Northampton","0","0","10","210","250","15","485"
"10008816","Northern School of Contemporary Dance","0","0","15","0","0","0","15"
"10001282","University of Northumbria at Newcastle","0","5","55","455","810","210","1,535"
"10004775","Norwich University of the Arts","0","5","35","45","35","5","120"
"10007154","University of Nottingham","0","0","595","755","835","835","3,015"
"10004797","The Nottingham Trent University","0","25","180","600","745","175","1,725"
"10007773","The Open University","0","0","5","540","670","210","1,425"
"10004930","Oxford Brookes University","0","0","40","240","305","85","670"
"10007774","The University of Oxford","0","0","505","2,990","1,170","2,055","6,720"
"10004028","The Place, London Contemporary Dance School (LCDS)","0","0","0","5","5","0","10"
"10005127","Arts University Plymouth","0","5","5","10","10","5","30"
"10007801","University of Plymouth","0","0","60","260","405","100","820"
"10019178","Point Blank Music School","0","0","0","5","5","0","10"
"10007155","The University of Portsmouth","0","20","75","410","465","135","1,105"
"10005337","Queen Margaret University, Edinburgh","0","0","0","50","110","25","180"
"10007775","Queen Mary University of London","0","0","65","775","660","830","2,325"
"10009292","Royal Academy of Dramatic Art","0","0","0","0","15","0","20"
"10005378","Rambert School","0","0","0","5","0","0","5"
"10005389","Ravensbourne University London","0","0","0","15","65","15","95"
"10007802","The University of Reading","0","0","85","230","530","245","1,085"
"10008455","Regent College London","0","0","0","160","25","10","200"
"10005500","Robert Gordon University","0","0","10","160","195","60","425"
"10007776","Roehampton University","0","0","15","120","185","50","370"
"10005523","Rose Bruford College of Theatre and Performance","0","0","0","5","10","5","20"
"10007835","Royal Academy of Music","0","0","0","5","5","10","20"
"10005545","Royal Agricultural University","0","0","0","15","15","10","45"
"10007777","Royal College of Art","0","0","5","25","55","35","115"
"10007778","Royal College of Music","0","0","0","0","15","10","25"
"10005561","Royal Conservatoire of Scotland","0","0","10","30","30","5","70"
"10007816","The Royal Central School of Speech and Drama","0","0","0","25","30","10","65"
"10005553","Royal Holloway and Bedford New College","0","0","15","190","350","220","780"
"10007837","Royal Northern College of Music","0","0","0","5","20","10","35"
"10007779","The Royal Veterinary College","0","0","25","50","70","90","235"
"10007803","The University of St. Andrews","0","0","85","365","440","225","1,115"
"10008026","St Mary's University College","0","0","0","5","25","0","30"
"10007843","St Mary's University, Twickenham","0","0","5","80","105","20","210"
"10007156","The University of Salford","0","0","115","325","505","120","1,065"
"10007780","SOAS University of London","0","0","15","70","160","85","330"
"10005700","SRUC","0","15","50","205","90","25","385"
"10005790","Sheffield Hallam University","0","0","60","450","565","130","1,205"
"10007157","The University of Sheffield","0","0","250","1,110","1,000","625","2,980"
"10007158","The University of Southampton","0","0","235","705","660","750","2,350"
"10006022","Southampton Solent University","0","0","5","230","90","10","335"
"10088214","S P Jain London School of Management Limited","0","0","0","0","0","5","5"
"10006299","University of Staffordshire","0","0","30","200","185","35","450"
"10004747","St Hild College","0","0","5","0","0","0","5"
"10007804","The University of Stirling","0","0","20","175","265","120","580"
"10037449","University of St Mark and St John","0","0","5","45","25","5","80"
"10008010","Stranmillis University College","0","0","0","0","40","5","45"
"10007805","The University of Strathclyde","0","0","225","520","535","385","1,665"
"10014001","University of Suffolk","0","0","5","100","70","15","190"
"10007159","The University of Sunderland","0","10","70","345","325","35","790"
"10007160","The University of Surrey","0","0","65","260","445","360","1,130"
"10007806","The University of Sussex","0","0","25","370","525","355","1,275"
"10007855","Swansea University","0","5","200","510","450","225","1,390"
"10013122","Sysco Business Skills Academy Limited","0","0","0","0","0","0","0"
"10083403","The Engineering and Design Institute London","0","0","5","5","0","5","15"
"10007161","Teesside University","0","5","115","395","285","90","885"
"10082743","ThinkSpace Education Limited","0","0","0","0","0","0","5"
"10008017","Trinity Laban Conservatoire of Music and Dance","0","0","0","10","15","5","30"
"10007858","University of Wales Trinity Saint David","0","0","45","240","135","25","440"
