workforce,staff_N,year,scenario,oncosts,structure,cost_per_head,total_cost,exeter_saving_per_yr,extra_posts_at_exeter_avg
E&R only,750,2025-26,top,incl,Sheffield,69945,52458908,3228299,43.5
E&R only,750,2026-27(+2%),bottom,salary only,Exeter,57304,42978217,0,0.0
E&R only,750,2026-27(+2%),bottom,salary only,Bristol,54830,41122657,1855560,32.4
E&R only,750,2026-27(+2%),bottom,salary only,Leeds,56837,42627653,350563,6.1
E&R only,750,2026-27(+2%),bottom,salary only,Cardiff,55461,41595532,1382685,24.1
E&R only,750,2026-27(+2%),bottom,salary only,Birmingham,52377,39282989,3695228,64.5
E&R only,750,2026-27(+2%),bottom,salary only,York,52654,39490308,3487909,60.9
E&R only,750,2026-27(+2%),bottom,salary only,Warwick,53007,39754969,3223248,56.2
E&R only,750,2026-27(+2%),bottom,salary only,Nottingham,53525,40144090,2834126,49.5
E&R only,750,2026-27(+2%),bottom,salary only,Southampton,53744,40307744,2670472,46.6
E&R only,750,2026-27(+2%),bottom,salary only,Liverpool,55506,41629210,1349007,23.5
E&R only,750,2026-27(+2%),bottom,salary only,Durham,53451,40088551,2889666,50.4
E&R only,750,2026-27(+2%),bottom,salary only,Sheffield,52398,39298619,3679598,64.2
E&R only,750,2026-27(+2%),bottom,incl,Exeter,73746,55309182,0,0.0
E&R only,750,2026-27(+2%),bottom,incl,Bristol,70529,52896954,2412228,32.7
E&R only,750,2026-27(+2%),bottom,incl,Leeds,73138,54853450,455732,6.2
E&R only,750,2026-27(+2%),bottom,incl,Cardiff,71349,53511691,1797491,24.4
E&R only,750,2026-27(+2%),bottom,incl,Birmingham,67341,50505385,4803797,65.1
E&R only,750,2026-27(+2%),bottom,incl,York,67700,50774900,4534281,61.5
E&R only,750,2026-27(+2%),bottom,incl,Warwick,68159,51118959,4190223,56.8
E&R only,750,2026-27(+2%),bottom,incl,Nottingham,68833,51624818,3684364,50.0
E&R only,750,2026-27(+2%),bottom,incl,Southampton,69117,51837568,3471614,47.1
E&R only,750,2026-27(+2%),bottom,incl,Liverpool,71407,53555473,1753709,23.8
E&R only,750,2026-27(+2%),bottom,incl,Durham,68737,51552616,3756566,50.9
E&R only,750,2026-27(+2%),bottom,incl,Sheffield,67368,50525704,4783478,64.9
E&R only,750,2026-27(+2%),even,salary only,Exeter,58075,43556301,0,0.0
E&R only,750,2026-27(+2%),even,salary only,Bristol,56042,42031625,1524676,26.3
E&R only,750,2026-27(+2%),even,salary only,Leeds,58447,43835070,-278769,-4.8
E&R only,750,2026-27(+2%),even,salary only,Cardiff,56341,42255662,1300639,22.4
E&R only,750,2026-27(+2%),even,salary only,Birmingham,53923,40442369,3113932,53.6
E&R only,750,2026-27(+2%),even,salary only,York,54221,40665861,2890440,49.8
E&R only,750,2026-27(+2%),even,salary only,Warwick,54918,41188804,2367497,40.8
E&R only,750,2026-27(+2%),even,salary only,Nottingham,55675,41756103,1800198,31.0
E&R only,750,2026-27(+2%),even,salary only,Southampton,55822,41866195,1690106,29.1
E&R only,750,2026-27(+2%),even,salary only,Liverpool,57457,43093037,463264,8.0
E&R only,750,2026-27(+2%),even,salary only,Durham,54819,41114123,2442178,42.1
E&R only,750,2026-27(+2%),even,salary only,Sheffield,53933,40450016,3106285,53.5
E&R only,750,2026-27(+2%),even,incl,Exeter,74748,56060691,0,0.0
E&R only,750,2026-27(+2%),even,incl,Bristol,72105,54078613,1982079,26.5
E&R only,750,2026-27(+2%),even,incl,Leeds,75231,56423091,-362400,-4.8
E&R only,750,2026-27(+2%),even,incl,Cardiff,72493,54369861,1690830,22.6
E&R only,750,2026-27(+2%),even,incl,Birmingham,69350,52012580,4048112,54.2
E&R only,750,2026-27(+2%),even,incl,York,69737,52303119,3757572,50.3
E&R only,750,2026-27(+2%),even,incl,Warwick,70644,52982946,3077746,41.2
E&R only,750,2026-27(+2%),even,incl,Nottingham,71627,53720434,2340257,31.3
